DATE,GPDIC1
1988-01-01,1177.604
1988-04-01,1205.662
1988-07-01,1212.36
1988-10-01,1230.861
1989-01-01,1272.638
1989-04-01,1260.328
1989-07-01,1249.012
1989-10-01,1239.747
1990-01-01,1252.058
1990-04-01,1252.449
1990-07-01,1228.17
1990-10-01,1159.464
1991-01-01,1120.884
1991-04-01,1120.88
1991-07-01,1143.073
1991-10-01,1183.605
1992-01-01,1161.74
1992-04-01,1227.44
1992-07-01,1237.197
1992-10-01,1274.945
1993-01-01,1305.003
1993-04-01,1312.511
1993-07-01,1303.597
1993-10-01,1372.097
1994-01-01,1424.36
1994-04-01,1494.411
1994-07-01,1469.999
1994-10-01,1530.476
1995-01-01,1546.548
1995-04-01,1514.426
1995-07-01,1505.399
1995-10-01,1542.785
1996-01-01,1567.56
1996-04-01,1642.882
1996-07-01,1717.51
1996-10-01,1715.245
1997-01-01,1749.879
1997-04-01,1856.956
1997-07-01,1882.955
1997-10-01,1911.048
1998-01-01,1994.375
1998-04-01,1982.058
1998-07-01,2033.015
1998-10-01,2095.76
1999-01-01,2153.308
1999-04-01,2154.652
1999-07-01,2213.773
1999-10-01,2273.095
2000-01-01,2257.109
2000-04-01,2390.733
2000-07-01,2367.274
2000-10-01,2371.809
2001-01-01,2264.202
2001-04-01,2267.433
2001-07-01,2218.37
2001-10-01,2108.5
2002-01-01,2170.707
2002-04-01,2206.375
2002-07-01,2203.109
2002-10-01,2201.749
2003-01-01,2218.685
2003-04-01,2233.997
2003-07-01,2315.399
2003-10-01,2393.402
2004-01-01,2398.151
2004-04-01,2493.945
2004-07-01,2532.635
2004-10-01,2585.477
2005-01-01,2658.163
2005-04-01,2622.793
2005-07-01,2657.458
2005-10-01,2743.846
2006-01-01,2784.583
2006-04-01,2766.628
2006-07-01,2755.954
2006-10-01,2702.487
2007-01-01,2683.893
2007-04-01,2713.495
2007-07-01,2686.106
2007-10-01,2653.056
2008-01-01,2583.253
2008-04-01,2536.403
2008-07-01,2485.549
2008-10-01,2246.441
2009-01-01,1986.845
2009-04-01,1872.287
2009-07-01,1868.013
2009-10-01,2040.736
2010-01-01,2087.171
2010-04-01,2196.706
2010-07-01,2294.672
2010-10-01,2287.362
2011-01-01,2244.241
2011-04-01,2336.057
2011-07-01,2343.786
2011-10-01,2524.429
2012-01-01,2577.157
2012-04-01,2636.495
2012-07-01,2648.459
2012-10-01,2624.905
2013-01-01,2722.778
2013-04-01,2753.237
2013-07-01,2859.751
2013-10-01,2870.127
2014-01-01,2841.133
2014-04-01,2952.841
2014-07-01,3007.338
2014-10-01,3005.057
2015-01-01,3096.866
2015-04-01,3112.431
2015-07-01,3102.676
2015-10-01,3056.879
2016-01-01,3042.889
2016-04-01,3035.19
2016-07-01,3032.239
2016-10-01,3091.661
2017-01-01,3128.628
2017-04-01,3172.063
2017-07-01,3239.776
2017-10-01,3246.036
2018-01-01,3321.028